Solute_SMILES,Solvent_SMILES,T_K,ln_gamma_inf
ClC(Cl)(Cl)Cl,O,283.15,9.243504318354615
ClC(Cl)(Cl)Cl,O,283.15,9.518971473178347
ClC(Cl)(Cl)Cl,O,285.65,9.132351803114208
ClC(Cl)(Cl)Cl,O,288.15,9.318701381646248
ClC(Cl)(Cl)Cl,O,293.15,9.130368161817637
ClC(Cl)(Cl)Cl,O,293.15,9.280910665345473
ClC(Cl)(Cl)Cl,O,293.15,9.4136076932856
ClC(Cl)(Cl)Cl,O,293.15,9.414292948896431
ClC(Cl)(Cl)Cl,O,293.65,9.566783288998751
ClC(Cl)(Cl)Cl,O,298.15,9.215397562802945
ClC(Cl)(Cl)Cl,O,298.15,9.246286498749653
ClC(Cl)(Cl)Cl,O,298.15,9.319535526001578
ClC(Cl)(Cl)Cl,O,298.15,9.412366512044473
ClC(Cl)(Cl)Cl,O,298.15,9.414056425624294
ClC(Cl)(Cl)Cl,O,303.15,9.193506473640204
ClC(Cl)(Cl)Cl,O,303.15,9.220062954124305
ClC(Cl)(Cl)Cl,O,303.15,9.261565664051629
ClC(Cl)(Cl)Cl,O,303.15,9.268203537420371
ClC(Cl)(Cl)Cl,O,303.15,9.485658828944501
ClC(Cl)(Cl)Cl,O,304.15,9.384713758920963
ClC(Cl)(Cl)Cl,O,308.15,9.10885677578908
ClC(Cl)(Cl)Cl,O,313.15,9.076391749466232
ClC(Cl)(Cl)Cl,O,313.15,9.484557193474393
ClC(Cl)(Cl)Cl,O,314.45,9.441190153874622
ClC(Cl)(Cl)Cl,O,325.65,9.302764573165677
ClC(Cl)(Cl)Cl,O,337.15,9.094766768725437
ClC(Cl)(Cl)Cl,O,348.15,8.913979413376076
CC(O)CO,O,296.8,-0.007230074108719884
CC(O)CO,O,308.3,0.0939911284202421
CC(O)CO,O,318.8,0.2005625077918943
CC(O)CO,O,328.5,0.19642168117273617
CC(O)CO,O,337.9,0.26896550517885015
CC(O)CO,O,348.3,0.2766236528950256
CCOCC,O,283.15,3.905725215916968
CCOCC,O,288.15,4.063749606692428
CCOCC,O,293.15,4.217800366149019
CCOCC,O,293.15,4.2349655557969506
CCOCC,O,293.15,4.526785852451705
CCOCC,O,296.15,4.2981720878303715
CCOCC,O,298.15,4.232959470193154
CCOCC,O,298.15,4.351105980532854
CCOCC,O,303.15,4.448010985096378
CCOCC,O,303.15,4.481209985874802
CCOCC,O,303.25,4.495396613771142
CCOCC,O,308.15,4.591855943523208
Nc1ccccc1,O,298.15,5.066215055111874
Nc1ccccc1,O,323.15,4.890634801698915
Nc1ccccc1,O,333.15,4.890649834884672
Nc1ccccc1,O,343.15,4.795335896805095
Nc1ccccc1,O,343.15,4.810003116410804
Nc1ccccc1,O,353.15,4.712085492332217
Nc1ccccc1,O,356.33,4.917108190333251
Nc1ccccc1,O,361.97,4.852858046213298
Nc1ccccc1,O,366.84,4.786090761866418
Nc1ccccc1,O,371.03,4.726971802986257
Nc1ccccc1,O,372.47,4.5264775665351715
CCO,O,283.15,1.1488395150069954
CCO,O,283.15,1.166613557568568
CCO,O,283.15,1.4865106679950018
CCO,O,293.15,1.3421256266746362
CCO,O,293.15,1.5824489652845206
CCO,O,297.45,1.5650721461654784
CCO,O,298.15,1.1914709811829676
CCO,O,298.15,1.2589835803084242
CCO,O,298.15,1.27586267545426
CCO,O,298.15,1.3264965848724235
