Solute_SMILES,Solvent_SMILES,T_K,ln_gamma_inf
O,ClC(Cl)(Cl)Cl,283.15,7.047317201354629
O,ClC(Cl)(Cl)Cl,293.15,7.0726763210959245
O,ClC(Cl)(Cl)Cl,293.15,7.244334652721107
O,ClC(Cl)(Cl)Cl,297.15,7.070452192639792
O,ClC(Cl)(Cl)Cl,298.15,6.9012672773436075
O,ClC(Cl)(Cl)Cl,298.15,6.918141158534555
O,ClC(Cl)(Cl)Cl,298.15,7.053170775080112
O,ClC(Cl)(Cl)Cl,298.15,7.070044182025856
O,ClC(Cl)(Cl)Cl,298.15,7.0869218640827905
O,ClC(Cl)(Cl)Cl,298.15,7.103807142224351
O,ClC(Cl)(Cl)Cl,303.15,6.985891555184846
O,ClC(Cl)(Cl)Cl,303.15,7.019090908042805
O,CC(C)=O,298.15,1.9404438072234067
O,CC(C)=O,307.85,1.7948995340602494
O,CC(C)=O,318.05,1.742718023490054
O,CC(C)=O,323.15,2.155458850603736
O,CC(C)=O,328.45,1.6615691556444534
O,CC(C)=O,333.15,1.6983860793014285
O,CC(C)=O,333.15,1.7739094343818835
O,CC(C)=O,373.15,1.5560687807758948
O,ClC(Cl)Cl,293.15,5.300524928090037
O,CCCCO,383.15,1.0715390947411763
O,CCCCCO,323.1,0.9152942355365595
O,CCCCCO,323.15,1.4278368959885894
O,CCCCCO,333.15,1.3503044233867354
O,CCCCCO,343.15,1.281047727866106
O,CCCCCO,373.45,0.8909195891342591
O,c1ccccc1,293.15,5.507077977494793
O,CC(Cl)(Cl)Cl,293.15,6.026894430289861
O,CC(Cl)(Cl)Cl,308.15,5.745490476555972
O,CC(Cl)Cl,293.15,5.148191907970399
O,CC(Cl)Cl,308.15,4.850896809302559
O,C[N+](=O)[O-],314.25,2.5938283170119134
O,C[N+](=O)[O-],322.45,2.4692937333828238
O,C[N+](=O)[O-],333.05,2.467667234654983
O,CCC(C)C,293.15,7.348439514825745
O,CCC(C)C,293.15,7.7072065299121215
O,ClCC(Cl)Cl,293.15,4.84759073628404
O,ClCC(Cl)Cl,308.15,4.449703974561796
O,ClC=C(Cl)Cl,293.15,5.994863763221186
O,ClC=C(Cl)Cl,308.15,5.868796788092092
O,ClC=C(Cl)Cl,323.15,5.6403029481413895
O,BrC(Br)C(Br)Br,298.15,6.0559663488214035
O,CC(C)C(C)C,293.15,7.550024868211726
O,CC(C)C(C)C,298.15,7.751393594252053
O,CC(C)C(C)C,303.15,6.994584139316616
O,ClC(Cl)C(Cl)Cl,293.15,4.4968541961046204
O,ClC(Cl)C(Cl)Cl,308.15,4.19357885081249
O,CCC(C)CC,298.15,7.706720870349922
O,CC1CCCC1,283.15,7.982549489210053
O,CC1CCCC1,293.15,7.400748852588844
O,CCCCC(=O)CC,298.15,3.0573070320828424
O,BrCCBr,308.15,5.404090796944837
O,BrCCBr,323.15,5.138553462010824
O,ClCCCl,293.15,4.800860317187589
O,ClCCCl,308.15,4.330492521818207
O,OCCO,312.87,-0.02753873395405561
O,OCCO,313.0,-0.2073464845949098
O,OCCO,323.0,-0.2016829854325773
O,OCCO,333.0,-0.20683845482303395
O,OCCO,343.0,-0.19282532876741057
O,OCCO,373.15,-0.20463587975847006
O,CC(C)CC(C)C,298.15,7.70771891480528
O,CC1CCCCC1,283.15,8.007200553954139
O,CC1CCCCC1,293.15,7.366375613672448
O,Oc1ccccc1,455.01,0.38734865841517113
O,CCCCC,288.15,8.315696154628117
O,CCCCC,298.15,7.812313452779256
O,CCCCC,311.48,7.819218376559413
O,COCCO,323.78,0.45045759402699287
O,COCCO,342.27,0.47150250536947147
O,COCCO,362.96,0.5258876202426481
O,CCCCCC,293.15,7.129946376856541
O,CCCCCC,293.15,7.198609813849256
O,CCCCCC,293.15,7.540212523092693
O,CCCCCC,293.15,7.6346224947446455
O,CCCCCC,298.15,7.314566147814657
O,CCCCCC,298.15,7.417520340550807
O,CCCCCC,298.15,7.579551133631047
O,CCCCCC,298.15,7.750016189494872
O,CCCCCC,303.15,7.062799844888453
O,CCCCCC,303.15,7.125878248239475
O,CCCCCC,303.15,7.155755331895206
O,C1CCCCC1,283.15,8.070968586834773
O,C1CCCCC1,288.15,8.17870893203407
O,C1CCCCC1,292.15,7.671160530326755
O,C1CCCCC1,293.15,7.4723415507138204
O,C1CCCCC1,293.15,7.664600002156324
