Solute_SMILES,Solvent_SMILES,T_K,ln_gamma_inf
CCO,ClC(Cl)(Cl)Cl,293.2,3.5380565643793527
CCO,ClC(Cl)(Cl)Cl,298.2,3.326473835466219
CCO,ClC(Cl)(Cl)Cl,313.2,2.9652730660692823
CCO,ClC(Cl)(Cl)Cl,333.2,2.322387720290225
CO,ClC(Cl)(Cl)Cl,293.2,3.877431560658527
CO,ClC(Cl)(Cl)Cl,313.2,3.2733640101522705
CO,ClC(Cl)(Cl)Cl,333.2,2.5726122302071057
CC(C)=O,ClC(Cl)(Cl)Cl,293.2,1.1600209167967532
CC(C)=O,ClC(Cl)(Cl)Cl,295.7,1.1474024528375417
CC(C)=O,ClC(Cl)(Cl)Cl,316.5,1.0577902941478545
CC(C)=O,ClC(Cl)(Cl)Cl,328.9,1.0367368849500223
CC(C)=O,ClC(Cl)(Cl)Cl,333.0,1.0152306797290584
CC(C)=O,ClC(Cl)(Cl)Cl,338.6,0.9858167945227654
CC(C)=O,ClC(Cl)(Cl)Cl,344.4,0.9477893989335261
CC(C)=O,ClC(Cl)(Cl)Cl,346.8,0.9516578757114463
CC(C)=O,ClC(Cl)(Cl)Cl,349.8,0.8415671856782185
CC(C)=O,ClC(Cl)(Cl)Cl,349.8,0.6575200029167941
ClC(Cl)Cl,ClC(Cl)(Cl)Cl,293.2,0.17395330712343798
ClC(Cl)Cl,ClC(Cl)(Cl)Cl,293.2,0.14842000511827322
ClC(Cl)Cl,ClC(Cl)(Cl)Cl,303.2,0.1570037488096647
ClC(Cl)Cl,ClC(Cl)(Cl)Cl,328.2,0.12221763272424911
CCCO,ClC(Cl)(Cl)Cl,314.9,2.768204123921957
CCCO,ClC(Cl)(Cl)Cl,327.0,2.4765384001174837
CCCO,ClC(Cl)(Cl)Cl,338.9,2.1770218700187
CCCO,ClC(Cl)(Cl)Cl,344.4,2.172476407647025
c1ccccc1,ClC(Cl)(Cl)Cl,293.2,0.09531017980432493
c1ccccc1,ClC(Cl)(Cl)Cl,313.2,0.12221763272424911
c1ccccc1,ClC(Cl)(Cl)Cl,328.3,0.09531017980432493
c1ccccc1,ClC(Cl)(Cl)Cl,349.1,0.09531017980432493
c1ccccc1,ClC(Cl)(Cl)Cl,349.8,0.09531017980432493
CC(Cl)(Cl)Cl,ClC(Cl)(Cl)Cl,328.2,0.08617769624105241
CCBr,ClC(Cl)(Cl)Cl,293.2,0.22314355131420976
CCI,ClC(Cl)(Cl)Cl,293.2,0.30010459245033816
CC#N,ClC(Cl)(Cl)Cl,293.2,2.5952547069568657
CC#N,ClC(Cl)(Cl)Cl,314.9,2.3702437414678603
