role,raw_smiles,rdkit_valid,canonical_isomeric,canonical_nonisomeric,rdkit_isomeric_flag,heuristic_flag,detection_method,sample_count,isomer_collision_group,collision_group_id
solute,C1CCCCC1,True,C1CCCCC1,C1CCCCC1,False,False,none,1617,False,
solute,C1=CC=NC=C1,True,c1ccncc1,c1ccncc1,False,False,none,53,False,
solute,CCCC,True,CCCC,CCCC,False,False,none,129,False,
solute,CCCCCC,True,CCCCCC,CCCCCC,False,False,none,2035,False,
solute,C(Cl)(Cl)(Cl)Cl,True,ClC(Cl)(Cl)Cl,ClC(Cl)(Cl)Cl,False,False,none,264,False,
solute,CCSSCC,True,CCSSCC,CCSSCC,False,False,none,3,False,
solute,CC(C)CO,True,CC(C)CO,CC(C)CO,False,False,none,47,False,
solute,CC=C,True,C=CC,C=CC,False,False,none,102,False,
solute,C1=CC=CC=C1,True,c1ccccc1,c1ccccc1,False,False,none,981,False,
solute,CCCCCCCCC,True,CCCCCCCCC,CCCCCCCCC,False,False,none,418,False,
solute,C=CC=C,True,C=CC=C,C=CC=C,False,False,none,118,False,
solute,CC1CCC(CC1)C,True,CC1CCC(C)CC1,CC1CCC(C)CC1,False,False,none,5,False,
solute,CC#N,True,CC#N,CC#N,False,False,none,232,False,
solute,CCC(C)(C)C,True,CCC(C)(C)C,CCC(C)(C)C,False,False,none,104,False,
solute,CCCC(C)C,True,CCCC(C)C,CCCC(C)C,False,False,none,299,False,
solute,CCCCC=C,True,C=CCCCC,C=CCCCC,False,False,none,770,False,
solute,CC(C)CC(C)C,True,CC(C)CC(C)C,CC(C)CC(C)C,False,False,none,270,False,
solute,CCCCCCC,True,CCCCCCC,CCCCCCC,False,False,none,1641,False,
solute,CCCCCC=C,True,C=CCCCCC,C=CCCCCC,False,False,none,495,False,
solute,CCCOC(=O)C,True,CCCOC(C)=O,CCCOC(C)=O,False,False,none,123,False,
solute,CC(C)C,True,CC(C)C,CC(C)C,False,False,none,122,False,
solute,CC1CCCCC1,True,CC1CCCCC1,CC1CCCCC1,False,False,none,611,False,
solute,CCC1CCCCC1,True,CCC1CCCCC1,CCC1CCCCC1,False,False,none,393,False,
solute,CCO,True,CCO,CCO,False,False,none,565,False,
solute,C(Cl)(Cl)Cl,True,ClC(Cl)Cl,ClC(Cl)Cl,False,False,none,323,False,
solute,CC(C)OC(C)C,True,CC(C)OC(C)C,CC(C)OC(C)C,False,False,none,164,False,
solute,C1CC=CC=C1,True,C1=CCCC=C1,C1=CCCC=C1,False,False,none,12,False,
solute,C(C(CO)O)O,True,OCC(O)CO,OCC(O)CO,False,False,none,2,False,
solute,C(CCl)Cl,True,ClCCCl,ClCCCl,False,False,none,168,False,
solute,CC1=CC=C(C=C1)C,True,Cc1ccc(C)cc1,Cc1ccc(C)cc1,False,False,none,167,False,
solute,CCCCC,True,CCCCC,CCCCC,False,False,none,1118,False,
solute,CC1=CCC2CC1C2(C)C,True,CC1=CCC2CC1C2(C)C,CC1=CCC2CC1C2(C)C,False,False,none,18,False,
solute,CCC(=O)C,True,CCC(C)=O,CCC(C)=O,False,False,none,357,False,
solute,CC(CCl)Cl,True,CC(Cl)CCl,CC(Cl)CCl,False,False,none,13,False,
solute,CCC=O,True,CCC=O,CCC=O,False,False,none,27,False,
solute,CC1=CC=CC=C1,True,Cc1ccccc1,Cc1ccccc1,False,False,none,725,False,
solute,CCC(C)CCC(C)C,True,CCC(C)CCC(C)C,CCC(C)CCC(C)C,False,False,none,44,False,
solute,CCCCOP(=O)(OCCCC)OCCCC,True,CCCCOP(=O)(OCCCC)OCCCC,CCCCOP(=O)(OCCCC)OCCCC,False,False,none,7,False,
solute,CC(=O)OC,True,COC(C)=O,COC(C)=O,False,False,none,113,False,
solute,CCCCCO,True,CCCCCO,CCCCCO,False,False,none,89,False,
solute,CC(C)C=C,True,C=CC(C)C,C=CC(C)C,False,False,none,93,False,
solute,C[N+](=O)[O-],True,C[N+](=O)[O-],C[N+](=O)[O-],False,False,none,128,False,
solute,C(=S)=S,True,S=C=S,S=C=S,False,False,none,77,False,
solute,CCC1=CC=CC=C1,True,CCc1ccccc1,CCc1ccccc1,False,False,none,418,False,
solute,CCN(CC)CC,True,CCN(CC)CC,CCN(CC)CC,False,False,none,143,False,
solute,CC(C)O,True,CC(C)O,CC(C)O,False,False,none,207,False,
solute,CC(=C)C,True,C=C(C)C,C=C(C)C,False,False,none,113,False,
solute,C/C=C\C,True,C/C=C\C,CC=CC,True,True,rdkit+heuristic,118,True,solute_iso_collision_0001
solute,CCCCCCCCCC,True,CCCCCCCCCC,CCCCCCCCCC,False,False,none,158,False,
solute,C1=CC=C(C=C1)CCl,True,ClCc1ccccc1,ClCc1ccccc1,False,False,none,25,False,
solute,COC,True,COC,COC,False,False,none,116,False,
solute,CCCCCCCC,True,CCCCCCCC,CCCCCCCC,False,False,none,903,False,
solute,CCOCC,True,CCOCC,CCOCC,False,False,none,317,False,
solute,C(=C(Cl)Cl)Cl,True,ClC=C(Cl)Cl,ClC=C(Cl)Cl,False,False,none,102,False,
solute,CCOC(C)(C)C,True,CCOC(C)(C)C,CCOC(C)(C)C,False,False,none,108,False,
solute,CC(=O)C,True,CC(C)=O,CC(C)=O,False,False,none,439,False,
solute,CCC(C)CC(C)(C)C,True,CCC(C)CC(C)(C)C,CCC(C)CC(C)(C)C,False,False,none,33,False,
solute,C(Cl)Cl,True,ClCCl,ClCCl,False,False,none,240,False,
solute,CCCCCCCCCCO,True,CCCCCCCCCCO,CCCCCCCCCCO,False,False,none,7,False,
solute,CCCl,True,CCCl,CCCl,False,False,none,128,False,
solute,CCC#N,True,CCC#N,CCC#N,False,False,none,120,False,
solute,CCC(=O)O,True,CCC(=O)O,CCC(=O)O,False,False,none,2,False,
solute,CC1CCCC1,True,CC1CCCC1,CC1CCCC1,False,False,none,278,False,
solute,CCCC=O,True,CCCC=O,CCCC=O,False,False,none,78,False,
solute,CCCCCCC=C,True,C=CCCCCCC,C=CCCCCCC,False,False,none,420,False,
solute,C1=CC=C(C=C1)Br,True,Brc1ccccc1,Brc1ccccc1,False,False,none,11,False,
solute,CCCCCCCC=C,True,C=CCCCCCCC,C=CCCCCCCC,False,False,none,35,False,
solute,CC(C)C(C)C(C)C,True,CC(C)C(C)C(C)C,CC(C)C(C)C(C)C,False,False,none,214,False,
solute,CCCCOC(=O)C,True,CCCCOC(C)=O,CCCCOC(C)=O,False,False,none,90,False,
solute,CC(F)F,True,CC(F)F,CC(F)F,False,False,none,127,False,
solute,CC(=C)C=C,True,C=CC(=C)C,C=CC(=C)C,False,False,none,188,False,
solute,CCCCOC=O,True,CCCCOC=O,CCCCOC=O,False,False,none,4,False,
solute,C1CCCC1,True,C1CCCC1,C1CCCC1,False,False,none,323,False,
solute,C=CCCC=C,True,C=CCCC=C,C=CCCC=C,False,False,none,14,False,
solute,C(C(F)(Cl)Cl)(F)(Cl)Cl,True,FC(Cl)(Cl)C(F)(Cl)Cl,FC(Cl)(Cl)C(F)(Cl)Cl,False,False,none,46,False,
solute,CCCC=C,True,C=CCCC,C=CCCC,False,False,none,508,False,
solute,CC1=CC=CC=C1C,True,Cc1ccccc1C,Cc1ccccc1C,False,False,none,138,False,
solute,CCC(=O)OC,True,CCC(=O)OC,CCC(=O)OC,False,False,none,14,False,
solute,CO,True,CO,CO,False,False,none,887,False,
solute,CCCO,True,CCCO,CCCO,False,False,none,305,False,
solute,CCCCO,True,CCCCO,CCCCO,False,False,none,239,False,
solute,CC=C(C)C,True,CC=C(C)C,CC=C(C)C,False,False,none,144,False,
solute,CC(C)C=O,True,CC(C)C=O,CC(C)C=O,False,False,none,54,False,
solute,CCC,True,CCC,CCC,False,False,none,121,False,
solute,CC=O,True,CC=O,CC=O,False,False,none,123,False,
solute,CCC(=O)CC,True,CCC(=O)CC,CCC(=O)CC,False,False,none,23,False,
solute,CCC=C,True,C=CCC,C=CCC,False,False,none,120,False,
solute,C(C(Cl)(Cl)Cl)(F)(F)F,True,FC(F)(F)C(Cl)(Cl)Cl,FC(F)(F)C(Cl)(Cl)Cl,False,False,none,12,False,
solute,C1=COC=C1,True,c1ccoc1,c1ccoc1,False,False,none,111,False,
solute,COC1=CC=CC=C1,True,COc1ccccc1,COc1ccccc1,False,False,none,54,False,
solute,C1COCCO1,True,C1COCCO1,C1COCCO1,False,False,none,148,False,
solute,C=CC1=CC=CC=C1,True,C=Cc1ccccc1,C=Cc1ccccc1,False,False,none,18,False,
solute,COC=O,True,COC=O,COC=O,False,False,none,57,False,
solute,CCC(C)Cl,True,CCC(C)Cl,CCC(C)Cl,False,False,none,26,False,
solute,CCCC(C)(C)C(C)C,True,CCCC(C)(C)C(C)C,CCCC(C)(C)C(C)C,False,False,none,33,False,
solute,CCCCCCCCCCC,True,CCCCCCCCCCC,CCCCCCCCCCC,False,False,none,22,False,
solute,CCOC(=O)C,True,CCOC(C)=O,CCOC(C)=O,False,False,none,316,False,
solute,CCC(C)C,True,CCC(C)C,CCC(C)C,False,False,none,143,False,
solute,C1CCC(CC1)N,True,NC1CCCCC1,NC1CCCCC1,False,False,none,23,False,
