dataset,fold,split,path,samples,unique_pairs,unique_solute,unique_solvent,log_gamma_mean,log_gamma_std
full,1,train,/root/rivermind-data/PGSSI-main/src/1.Isomerism_experiment/folds/full_fold01_train.csv,27541,9254,504,668,1.2938415044685738,1.8414090625336468
full,1,valid,/root/rivermind-data/PGSSI-main/src/1.Isomerism_experiment/folds/full_fold01_valid.csv,4096,1323,285,471,1.2488377657409668,1.5309982301740321
full,1,test,/root/rivermind-data/PGSSI-main/src/1.Isomerism_experiment/folds/full_fold01_test.csv,8203,2645,336,569,1.2528552966179447,1.7262959948615122
full,2,train,/root/rivermind-data/PGSSI-main/src/1.Isomerism_experiment/folds/full_fold02_train.csv,28118,9254,509,667,1.260614510508251,1.7666092840612
full,2,valid,/root/rivermind-data/PGSSI-main/src/1.Isomerism_experiment/folds/full_fold02_valid.csv,3937,1323,277,478,1.258323976437135,1.6889261642787248
full,2,test,/root/rivermind-data/PGSSI-main/src/1.Isomerism_experiment/folds/full_fold02_test.csv,7785,2645,356,571,1.3649479845211303,1.909819163137081
full,3,train,/root/rivermind-data/PGSSI-main/src/1.Isomerism_experiment/folds/full_fold03_train.csv,28082,9255,515,680,1.3187831585248557,1.8163014883338309
full,3,valid,/root/rivermind-data/PGSSI-main/src/1.Isomerism_experiment/folds/full_fold03_valid.csv,3852,1323,266,469,1.181749474504154,1.707447728169169
full,3,test,/root/rivermind-data/PGSSI-main/src/1.Isomerism_experiment/folds/full_fold03_test.csv,7906,2644,339,564,1.1940213417298253,1.721815448748533
full,4,train,/root/rivermind-data/PGSSI-main/src/1.Isomerism_experiment/folds/full_fold04_train.csv,27754,9255,517,676,1.261937861877603,1.780371013364677
full,4,valid,/root/rivermind-data/PGSSI-main/src/1.Isomerism_experiment/folds/full_fold04_valid.csv,4126,1323,264,467,1.3401470066185166,1.6752511654688955
full,4,test,/root/rivermind-data/PGSSI-main/src/1.Isomerism_experiment/folds/full_fold04_test.csv,7960,2644,353,569,1.3156822102188441,1.8708799155213593
full,5,train,/root/rivermind-data/PGSSI-main/src/1.Isomerism_experiment/folds/full_fold05_train.csv,27824,9255,504,679,1.2610052848086186,1.7899850284856904
full,5,valid,/root/rivermind-data/PGSSI-main/src/1.Isomerism_experiment/folds/full_fold05_valid.csv,4030,1323,255,461,1.4217975519099253,1.931276151968136
full,5,test,/root/rivermind-data/PGSSI-main/src/1.Isomerism_experiment/folds/full_fold05_test.csv,7986,2644,369,568,1.2784930105796395,1.703544372270491
isomer_subset,1,train,/root/rivermind-data/PGSSI-main/src/1.Isomerism_experiment/folds/isomer_subset_fold01_train.csv,717,241,84,85,0.8749696754755927,1.623453837735248
isomer_subset,1,valid,/root/rivermind-data/PGSSI-main/src/1.Isomerism_experiment/folds/isomer_subset_fold01_valid.csv,123,35,19,29,0.6008794624552846,0.8494220533128766
isomer_subset,1,test,/root/rivermind-data/PGSSI-main/src/1.Isomerism_experiment/folds/isomer_subset_fold01_test.csv,199,69,42,41,0.6878682915025126,0.9475721157698382
isomer_subset,2,train,/root/rivermind-data/PGSSI-main/src/1.Isomerism_experiment/folds/isomer_subset_fold02_train.csv,656,241,87,87,0.5898603347179878,0.8902388189365116
isomer_subset,2,valid,/root/rivermind-data/PGSSI-main/src/1.Isomerism_experiment/folds/isomer_subset_fold02_valid.csv,133,35,23,24,0.9021354488721804,0.9831299556762462
isomer_subset,2,test,/root/rivermind-data/PGSSI-main/src/1.Isomerism_experiment/folds/isomer_subset_fold02_test.csv,250,69,38,41,1.324859307728,2.3840229444126746
isomer_subset,3,train,/root/rivermind-data/PGSSI-main/src/1.Isomerism_experiment/folds/isomer_subset_fold03_train.csv,737,241,81,83,0.851646504090909,1.6033609447245787
isomer_subset,3,valid,/root/rivermind-data/PGSSI-main/src/1.Isomerism_experiment/folds/isomer_subset_fold03_valid.csv,110,35,24,25,0.5324954661636364,0.6520958316340958
isomer_subset,3,test,/root/rivermind-data/PGSSI-main/src/1.Isomerism_experiment/folds/isomer_subset_fold03_test.csv,192,69,46,40,0.7911939917395833,1.0638005386471399
isomer_subset,4,train,/root/rivermind-data/PGSSI-main/src/1.Isomerism_experiment/folds/isomer_subset_fold04_train.csv,721,241,84,92,0.9092409165034674,1.6428149046547778
isomer_subset,4,valid,/root/rivermind-data/PGSSI-main/src/1.Isomerism_experiment/folds/isomer_subset_fold04_valid.csv,124,35,24,25,0.4847473572096774,0.9048499141398085
isomer_subset,4,test,/root/rivermind-data/PGSSI-main/src/1.Isomerism_experiment/folds/isomer_subset_fold04_test.csv,194,69,40,34,0.6313188047113403,0.6987682533669338
isomer_subset,5,train,/root/rivermind-data/PGSSI-main/src/1.Isomerism_experiment/folds/isomer_subset_fold05_train.csv,738,241,80,91,0.9428846410853658,1.6168603035744546
isomer_subset,5,valid,/root/rivermind-data/PGSSI-main/src/1.Isomerism_experiment/folds/isomer_subset_fold05_valid.csv,97,35,26,23,0.48079223039175256,0.5940186516947028
isomer_subset,5,test,/root/rivermind-data/PGSSI-main/src/1.Isomerism_experiment/folds/isomer_subset_fold05_test.csv,204,69,39,36,0.46892896930392153,0.8792767519560357
