Solute_SMILES,Solvent_SMILES,T_K,ln_gamma_inf,QSPR_ln_gamma_inf_pred
CCO,ClC(Cl)(Cl)Cl,293.2,3.5380565643793527,-0.902635251
CCO,ClC(Cl)(Cl)Cl,298.2,3.326473835466219,-0.92096261
CCO,ClC(Cl)(Cl)Cl,313.2,2.9652730660692823,-0.975944687
CCO,ClC(Cl)(Cl)Cl,333.2,2.322387720290225,-1.049254123
CO,ClC(Cl)(Cl)Cl,293.2,3.877431560658527,-1.255593095
CO,ClC(Cl)(Cl)Cl,313.2,3.2733640101522705,-1.328902531
CO,ClC(Cl)(Cl)Cl,333.2,2.5726122302071057,-1.402211967
CC(C)=O,ClC(Cl)(Cl)Cl,293.2,1.1600209167967532,0.7279214171426429
CC(C)=O,ClC(Cl)(Cl)Cl,295.7,1.1474024528375415,0.7148135734999155
CC(C)=O,ClC(Cl)(Cl)Cl,316.5,1.0577902941478543,0.6057563143924245
CC(C)=O,ClC(Cl)(Cl)Cl,328.9,1.0367368849500225,0.5407414099244976
CC(C)=O,ClC(Cl)(Cl)Cl,333,1.0152306797290584,0.5192445463504249
CC(C)=O,ClC(Cl)(Cl)Cl,338.6,0.9858167945227654,0.48988297659071556
CC(C)=O,ClC(Cl)(Cl)Cl,344.4,0.947789398933526,0.4594727793395883
CC(C)=O,ClC(Cl)(Cl)Cl,346.8,0.9516578757114464,0.44688924944257025
CC(C)=O,ClC(Cl)(Cl)Cl,349.8,0.8415671856782185,0.43115983707129724
CC(C)=O,ClC(Cl)(Cl)Cl,349.8,0.6575200029167941,0.43115983707129724
ClC(Cl)Cl,ClC(Cl)(Cl)Cl,293.2,0.1739533071234379,2.004061936443977
ClC(Cl)Cl,ClC(Cl)(Cl)Cl,293.2,0.1484200051182732,2.004061936443977
ClC(Cl)Cl,ClC(Cl)(Cl)Cl,303.2,0.1570037488096647,1.928003847828081
ClC(Cl)Cl,ClC(Cl)(Cl)Cl,328.2,0.1222176327242491,1.7378586262883418
CCCO,ClC(Cl)(Cl)Cl,314.9,2.768204123921957,-0.808752226
