Solute_SMILES,Solvent_SMILES,T_K,ln_gamma_inf,ln_gamma_inf_pred_mosced
ClC(Cl)(Cl)Cl,O,283.15,9.243504318354615,8.052851239148188
ClC(Cl)(Cl)Cl,O,283.15,9.518971473178349,8.052851239148188
ClC(Cl)(Cl)Cl,O,285.65,9.132351803114208,7.946720989916468
ClC(Cl)(Cl)Cl,O,288.15,9.318701381646248,7.841207138257889
ClC(Cl)(Cl)Cl,O,293.15,9.130368161817636,7.63251702441758
ClC(Cl)(Cl)Cl,O,293.15,9.280910665345472,7.63251702441758
ClC(Cl)(Cl)Cl,O,293.15,9.4136076932856,7.63251702441758
ClC(Cl)(Cl)Cl,O,293.15,9.414292948896431,7.63251702441758
ClC(Cl)(Cl)Cl,O,293.65,9.566783288998751,7.61184398249119
ClC(Cl)(Cl)Cl,O,298.15,9.215397562802943,7.427597685082294
ClC(Cl)(Cl)Cl,O,298.15,9.246286498749653,7.427597685082294
ClC(Cl)(Cl)Cl,O,298.15,9.319535526001578,7.427597685082294
ClC(Cl)(Cl)Cl,O,298.15,9.412366512044471,7.427597685082294
ClC(Cl)(Cl)Cl,O,298.15,9.414056425624294,7.427597685082294
ClC(Cl)(Cl)Cl,O,303.15,9.193506473640204,7.227048373862106
ClC(Cl)(Cl)Cl,O,303.15,9.220062954124304,7.227048373862106
ClC(Cl)(Cl)Cl,O,303.15,9.261565664051629,7.227048373862106
ClC(Cl)(Cl)Cl,O,303.15,9.268203537420373,7.227048373862106
ClC(Cl)(Cl)Cl,O,303.15,9.4856588289445,7.227048373862106
ClC(Cl)(Cl)Cl,O,304.15,9.384713758920965,7.1875031427774045
ClC(Cl)(Cl)Cl,O,308.15,9.10885677578908,7.0312969142234
ClC(Cl)(Cl)Cl,O,313.15,9.076391749466232,6.8406360727245135
ClC(Cl)(Cl)Cl,O,313.15,9.484557193474393,6.8406360727245135
ClC(Cl)(Cl)Cl,O,314.45,9.441190153874622,6.791923173892335
ClC(Cl)(Cl)Cl,O,325.65,9.302764573165677,6.387278529876893
ClC(Cl)(Cl)Cl,O,337.15,9.094766768725435,5.999995760727874
ClC(Cl)(Cl)Cl,O,348.15,8.913979413376076,5.655706013021726
CCOCC,O,283.15,3.905725215916968,3.916438805291112
CCOCC,O,288.15,4.063749606692428,3.886596543008296
CCOCC,O,293.15,4.217800366149019,3.8473065148194254
CCOCC,O,293.15,4.234965555796951,3.8473065148194254
CCOCC,O,293.15,4.526785852451705,3.8473065148194254
CCOCC,O,296.15,4.298172087830372,3.820037571321413
CCOCC,O,298.15,4.232959470193154,3.8005498912965447
CCOCC,O,298.15,4.351105980532854,3.8005498912965447
CCOCC,O,303.15,4.448010985096378,3.747947889567729
CCOCC,O,303.15,4.481209985874802,3.747947889567729
CCOCC,O,303.25,4.495396613771142,3.7468457869707783
CCOCC,O,308.15,4.591855943523208,3.690829501079127
CCO,O,283.15,1.1488395150069954,1.363546557399398
CCO,O,283.15,1.166613557568568,1.363546557399398
CCO,O,283.15,1.4865106679950018,1.363546557399398
CCO,O,293.15,1.3421256266746362,1.3684128321353064
CCO,O,293.15,1.5824489652845206,1.3684128321353064
CCO,O,297.45,1.5650721461654784,1.3671321196629995
CCO,O,298.15,1.1914709811829676,1.3667602512878296
CCO,O,298.15,1.2589835803084242,1.3667602512878296
CCO,O,298.15,1.27586267545426,1.3667602512878296
CCO,O,298.15,1.3264965848724235,1.3667602512878296
CCO,O,298.15,1.3433738120067866,1.3667602512878296
CCO,O,298.15,1.3771299963144716,1.3667602512878296
CCO,O,298.15,1.39400704178533,1.3667602512878296
CCO,O,298.15,1.427764945260417,1.3667602512878296
CCO,O,298.65,1.4648975716759538,1.3664682147618212
