Solute_SMILES,Solvent_SMILES,T_K,ln_gamma_inf,ln_gamma_pred_Extrap
ClC(Cl)(Cl)Cl,O,285.65,9.132351803114208,9.311953345431576
ClC(Cl)(Cl)Cl,O,288.15,9.318701381646248,9.243783806568048
ClC(Cl)(Cl)Cl,O,293.15,9.130368161817636,9.110676498351328
ClC(Cl)(Cl)Cl,O,293.15,9.280910665345472,9.110676498351328
ClC(Cl)(Cl)Cl,O,293.15,9.4136076932856,9.110676498351328
ClC(Cl)(Cl)Cl,O,293.15,9.414292948896431,9.110676498351328
ClC(Cl)(Cl)Cl,O,293.65,9.566783288998751,9.09759636379118
ClC(Cl)(Cl)Cl,O,298.15,9.215397562802943,8.981699216162456
ClC(Cl)(Cl)Cl,O,298.15,9.246286498749653,8.981699216162456
ClC(Cl)(Cl)Cl,O,298.15,9.319535526001578,8.981699216162456
ClC(Cl)(Cl)Cl,O,298.15,9.412366512044471,8.981699216162456
ClC(Cl)(Cl)Cl,O,298.15,9.414056425624294,8.981699216162456
ClC(Cl)(Cl)Cl,O,303.15,9.193506473640204,8.85664990366695
ClC(Cl)(Cl)Cl,O,303.15,9.220062954124304,8.85664990366695
ClC(Cl)(Cl)Cl,O,303.15,9.261565664051629,8.85664990366695
ClC(Cl)(Cl)Cl,O,303.15,9.268203537420373,8.85664990366695
ClC(Cl)(Cl)Cl,O,303.15,9.4856588289445,8.85664990366695
ClC(Cl)(Cl)Cl,O,304.15,9.384713758920965,8.832094576887469
ClC(Cl)(Cl)Cl,O,308.15,9.10885677578908,8.735339960900069
ClC(Cl)(Cl)Cl,O,313.15,9.076391749466232,8.617593125968899
ClC(Cl)(Cl)Cl,O,313.15,9.484557193474393,8.617593125968899
ClC(Cl)(Cl)Cl,O,314.45,9.441190153874622,8.587541989281725
ClC(Cl)(Cl)Cl,O,325.65,9.302764573165677,8.337757702723259
ClC(Cl)(Cl)Cl,O,337.15,9.094766768725435,8.097101681100357
ClC(Cl)(Cl)Cl,O,348.15,8.913979413376076,7.880493106029283
CC(O)CO,O,318.8,0.2005625077918943,0.13335767453886993
CC(O)CO,O,328.5,0.1964216811727361,0.18246206169867885
CC(O)CO,O,337.9,0.2689655051788501,0.22713014054250402
CC(O)CO,O,348.3,0.2766236528950256,0.2734125002639104
CCOCC,O,293.15,4.217800366149019,3.9279479090405145
CCOCC,O,293.15,4.234965555796951,3.9279479090405145
CCOCC,O,293.15,4.526785852451705,3.9279479090405145
CCOCC,O,296.15,4.298172087830372,3.9064196268476463
CCOCC,O,298.15,4.232959470193154,3.8923011013328974
CCOCC,O,298.15,4.351105980532854,3.8923011013328974
CCOCC,O,303.15,4.448010985096378,3.857788459585027
CCOCC,O,303.15,4.481209985874802,3.857788459585027
CCOCC,O,303.25,4.495396613771142,3.8571092871598927
CCOCC,O,308.15,4.591855943523208,3.824340307384664
Nc1ccccc1,O,333.15,4.890649834884672,4.75757625935013
Nc1ccccc1,O,343.15,4.795335896805095,4.671143713894395
Nc1ccccc1,O,343.15,4.810003116410804,4.671143713894395
Nc1ccccc1,O,353.15,4.712085492332217,4.589326023300473
Nc1ccccc1,O,356.33,4.917108190333251,4.5642017613206995
Nc1ccccc1,O,361.97,4.852858046213298,4.520638490721034
Nc1ccccc1,O,366.84,4.786090761866418,4.4840039817684225
Nc1ccccc1,O,371.03,4.726971802986257,4.453179308580933
Nc1ccccc1,O,372.47,4.526477566535172,4.442729144710373
CCO,O,283.15,1.4865106679950018,1.157726536287782
CCO,O,293.15,1.3421256266746362,1.1215269826987182
CCO,O,293.15,1.5824489652845206,1.1215269826987182
CCO,O,297.45,1.5650721461654784,1.1066484969144312
CCO,O,298.15,1.1914709811829676,1.1042637298492686
CCO,O,298.15,1.2589835803084242,1.1042637298492686
CCO,O,298.15,1.27586267545426,1.1042637298492686
CCO,O,298.15,1.3264965848724235,1.1042637298492686
CCO,O,298.15,1.3433738120067866,1.1042637298492686
CCO,O,298.15,1.3771299963144716,1.1042637298492686
CCO,O,298.15,1.39400704178533,1.1042637298492686
CCO,O,298.15,1.427764945260417,1.1042637298492686
