Solute_SMILES,Solvent_SMILES,T_K,ln_gamma_inf,ln_gamma_pred_Extrap
O,ClC(Cl)(Cl)Cl,293.15,7.0726763210959245,7.0237484512492845
O,ClC(Cl)(Cl)Cl,293.15,7.244334652721107,7.0237484512492845
O,ClC(Cl)(Cl)Cl,297.15,7.070452192639792,6.946632618756649
O,ClC(Cl)(Cl)Cl,298.15,6.901267277343608,6.927642389651906
O,ClC(Cl)(Cl)Cl,298.15,6.918141158534555,6.927642389651906
O,ClC(Cl)(Cl)Cl,298.15,7.053170775080112,6.927642389651906
O,ClC(Cl)(Cl)Cl,298.15,7.070044182025856,6.927642389651906
O,ClC(Cl)(Cl)Cl,298.15,7.086921864082791,6.927642389651906
O,ClC(Cl)(Cl)Cl,298.15,7.103807142224351,6.927642389651906
O,ClC(Cl)(Cl)Cl,303.15,6.985891555184846,6.8343684096597235
O,ClC(Cl)(Cl)Cl,303.15,7.019090908042805,6.8343684096597235
O,CC(C)=O,318.05,1.742718023490054,1.7794919526874158
O,CC(C)=O,323.15,2.155458850603736,1.7514078037302059
O,CC(C)=O,328.45,1.6615691556444534,1.723146439226163
O,CC(C)=O,333.15,1.6983860793014285,1.6988367455485964
O,CC(C)=O,333.15,1.7739094343818835,1.6988367455485964
O,CC(C)=O,373.15,1.5560687807758948,1.5167293638957908
O,CCCCO,383.15,1.0715390947411765,1.5630207884049843
O,CCCCCO,323.1,0.9152942355365596,1.274025071739881
O,CCCCCO,323.15,1.4278368959885894,1.2741062935277516
O,CCCCCO,333.15,1.3503044233867354,1.2897545983643675
O,CCCCCO,343.15,1.281047727866106,1.30423248845897
O,CCCCCO,373.45,0.8909195891342591,1.3412862194391613
O,CC(Cl)(Cl)Cl,308.15,5.745490476555972,5.6909719200208215
O,CC(Cl)Cl,308.15,4.850896809302559,5.05148793311893
O,C[N+](=O)[O-],322.45,2.469293733382824,2.568134999153595
O,C[N+](=O)[O-],333.05,2.467667234654983,2.54356466481556
O,CCC(C)C,293.15,7.7072065299121215,7.732222800236677
O,ClC=C(Cl)Cl,323.15,5.6403029481413895,5.640923409009909
O,CC(C)C(C)C,303.15,6.994584139316616,7.504422229706542
O,ClC(Cl)C(Cl)Cl,308.15,4.19357885081249,4.402476224244586
O,BrCCBr,323.15,5.138553462010824,5.061818985554154
O,ClCCCl,308.15,4.330492521818207,4.49274552500079
O,OCCO,323.0,-0.2016829854325773,-0.11376487869823518
O,OCCO,333.0,-0.2068384548230339,-0.1103485143645253
O,OCCO,343.0,-0.1928253287674105,-0.10713135503918317
O,OCCO,373.15,-0.20463587975847,-0.09847528720223458
O,CCCCC,298.15,7.812313452779256,7.842946467096783
O,CCCCC,311.48,7.819218376559413,7.507317324318654
O,COCCO,362.96,0.5258876202426481,0.48908022377623506
O,CCCCCC,293.15,7.198609813849256,7.477212132879045
O,CCCCCC,293.15,7.540212523092693,7.477212132879045
O,CCCCCC,293.15,7.634622494744645,7.477212132879045
O,CCCCCC,298.15,7.314566147814657,7.351823786138099
O,CCCCCC,298.15,7.417520340550807,7.351823786138099
O,CCCCCC,298.15,7.579551133631047,7.351823786138099
O,CCCCCC,298.15,7.750016189494872,7.351823786138099
O,CCCCCC,303.15,7.062799844888453,7.230571278406838
O,CCCCCC,303.15,7.125878248239475,7.230571278406838
O,CCCCCC,303.15,7.155755331895206,7.230571278406838
O,C1CCCCC1,292.15,7.671160530326755,7.982809581850848
O,C1CCCCC1,293.15,7.4723415507138204,7.961731154534899
O,C1CCCCC1,293.15,7.664600002156324,7.961731154534899
O,C1CCCCC1,293.15,7.669747320075953,7.961731154534899
O,C1CCCCC1,293.15,7.690350033259834,7.961731154534899
O,C1CCCCC1,293.15,8.196742718134235,7.961731154534899
O,C1CCCCC1,298.15,7.506734627010588,7.858441336412628
O,C1CCCCC1,298.15,7.89492936092867,7.858441336412628
O,C1CCCCC1,298.15,7.970878549719943,7.858441336412628
O,C1CCCCC1,298.15,8.024888327954244,7.858441336412628
O,C1CCCCC1,298.15,8.048519876909335,7.858441336412628
O,C1CCCCC1,298.15,8.08733907462537,7.858441336412628
O,C1CCCCC1,303.15,7.710671244487573,7.758516825561849
O,C1CCCCC1,303.15,7.825209333933533,7.758516825561849
O,C1CCCCC1,308.15,7.536950433049565,7.6617793588787695
O,CCCCCCCC,293.15,7.40933024706519,7.4240688940982515
O,CCCCCCCC,293.15,7.745786046484516,7.4240688940982515
O,CCCCCCCC,298.15,7.593515241108064,7.2995716126189105
O,O=S1(=O)CCCC1,317.9,0.9925478215909094,1.0336134266027837
O,O=S1(=O)CCCC1,323.15,0.9001166334973516,1.016821020642191
O,O=S1(=O)CCCC1,332.6,0.8139080004350787,0.9879306088865173
O,O=S1(=O)CCCC1,333.15,0.7701591463253186,0.9862996276394767
O,O=S1(=O)CCCC1,362.25,0.909185549744108,0.9070689902068569
O,ClC(Cl)=C(Cl)Cl,298.15,7.013672639573042,7.073687167367565
O,ClC(Cl)=C(Cl)Cl,303.15,6.94709137009451,6.9570214091507445
O,ClC(Cl)=C(Cl)Cl,304.25,7.086411794376143,6.9318695014106995
O,ClC(Cl)=C(Cl)Cl,313.15,6.952805123535846,6.734865823463396
O,CCOC(C)=O,328.45,2.3140392430391614,2.1920479923257776
O,CCOC(C)=O,333.15,2.3383382626998634,2.1864006379254164
O,CCOC(C)=O,338.35,2.273543437009322,2.180262976783953
O,CCOC(C)=O,349.45,2.190368908628324,2.1674819134209597
O,CCOC(C)=O,353.15,2.2168027785792965,2.1633014933123156
O,CCOC(C)=O,373.15,2.117751984893884,2.1411902927582696
O,CCCCCCC,293.15,7.260824730939261,7.342088300949606
O,CCCCCCC,293.15,7.532045293132494,7.342088300949606
O,CCCCCCC,293.15,7.597270873308033,7.342088300949606
O,CCCCCCC,296.15,7.16280826569203,7.267715836205618
O,CCCCCCC,298.15,7.0791506956425385,7.218965614448312
O,CCCCCCC,298.15,7.080842665085672,7.218965614448312
O,CCCCCCC,298.15,7.261435743940541,7.218965614448312
O,CCCCCCC,298.15,7.301943710362531,7.218965614448312
O,CCCCCCC,298.15,7.585494362139409,7.218965614448312
O,CCCCCCC,298.15,7.69013969081241,7.218965614448312
O,CCCCCCC,313.15,7.047447653720132,6.873186322583515
O,CCCCCCC,313.15,7.262775855208943,6.873186322583515
O,CC(C)CC(C)(C)C,293.15,7.220710283411295,7.645184850794579
O,CC(C)CC(C)(C)C,293.15,7.725387431413584,7.645184850794579
O,CC(C)CC(C)(C)C,298.15,7.583043941240769,7.539698314243367
O,CCCCCCCCCCCCCCCC,298.15,7.296860626321727,7.017677210983168
O,CCCC(C)O,337.9,0.8098051391099234,1.2329840310567288
O,OCC(O)CO,333.15,-0.0972501603503134,-0.24829855203952889
O,OCC(O)CO,338.15,-0.2145010059328681,0.12223724000005731
O,OCC(O)CO,339.75,-0.3944406019127106,0.23469773323973797
O,OCC(O)CO,343.15,-0.1806349798647506,0.4644048777285761
O,OCC(O)CO,343.15,-0.1073113061016803,0.4644048777285761
O,OCC(O)CO,348.15,-0.1467382201118044,0.7805981538088353
O,OCC(O)CO,349.95,-0.3824412041110268,0.8884917890314235
O,OCC(O)CO,353.15,-0.16984214952462,1.0729769067990595
O,OCC(O)CO,353.15,-0.1128451222424696,1.0729769067990595
O,OCC(O)CO,358.15,-0.0649364669741801,1.343493214963246
O,OCC(O)CO,359.25,-0.3794304696082695,1.4002516808486511
O,OCC(O)CO,363.15,-0.0313358803098529,1.5939142845177425
O,OCC(O)CO,364.05,-0.3517897530811209,1.6369820452948236
O,OCC(O)CO,368.15,0.0021776272477742,1.8258424957589643
O,OCC(O)CO,373.15,0.0625521746569646,2.0407329991852965
O,OCC(O)CO,378.15,0.0954647133179519,2.2399091943313447
O,OCC(O)CO,383.15,0.1282260943841609,2.4245763744202318
O,CC(O)CO,393.15,-0.1718006956548393,-0.12584726797767862
O,CC(=O)O,366.66,0.7506516456283715,0.7620084994799986
O,CC(=O)O,373.15,0.7439496044903033,0.7487552973550364
O,CO,317.85,0.5786169737149491,0.45841086158173894
O,CO,327.85,0.5351005881778923,0.4487653382807037
O,CO,333.15,0.5696566380296487,0.44379580697230553
O,CO,337.05,0.5598214810648546,0.440200512305282
O,CO,373.15,0.628859294677401,0.4092478122851755
