Solute_SMILES,Solvent_SMILES,T_K,ln_gamma_inf,ln_gamma_pred_Extrap
CCO,ClC(Cl)(Cl)Cl,313.2,2.9652730660692823,3.2408700329166074
CCO,ClC(Cl)(Cl)Cl,333.2,2.322387720290225,3.0463409321195734
CO,ClC(Cl)(Cl)Cl,333.2,2.5726122302071057,3.2554594836099526
CC(C)=O,ClC(Cl)(Cl)Cl,316.5,1.0577902941478543,1.0733209180822083
CC(C)=O,ClC(Cl)(Cl)Cl,328.9,1.0367368849500225,1.032855220083002
CC(C)=O,ClC(Cl)(Cl)Cl,333.0,1.0152306797290584,1.0201383946307838
CC(C)=O,ClC(Cl)(Cl)Cl,338.6,0.9858167945227654,1.0032666570300177
CC(C)=O,ClC(Cl)(Cl)Cl,344.4,0.947789398933526,0.9863707744244314
CC(C)=O,ClC(Cl)(Cl)Cl,346.8,0.9516578757114464,0.9795446844875543
CC(C)=O,ClC(Cl)(Cl)Cl,349.8,0.8415671856782185,0.9711437932379031
CC(C)=O,ClC(Cl)(Cl)Cl,349.8,0.6575200029167941,0.9711437932379031
ClC(Cl)Cl,ClC(Cl)(Cl)Cl,303.2,0.1570037488096647,0.15593263714009883
ClC(Cl)Cl,ClC(Cl)(Cl)Cl,328.2,0.1222176327242491,0.14418319799834578
CCCO,ClC(Cl)(Cl)Cl,338.9,2.1770218700187,2.4843136861939112
CCCO,ClC(Cl)(Cl)Cl,344.4,2.172476407647025,2.4446398090783696
c1ccccc1,ClC(Cl)(Cl)Cl,328.3,0.0953101798043249,0.13842295896020063
c1ccccc1,ClC(Cl)(Cl)Cl,349.1,0.0953101798043249,0.15619120892222438
c1ccccc1,ClC(Cl)(Cl)Cl,349.8,0.0953101798043249,0.15671058366771318
CC#N,ClC(Cl)(Cl)Cl,316.5,2.312535423847214,2.3828672484073796
CC#N,ClC(Cl)(Cl)Cl,330.0,2.2082744135228043,2.2853865847848382
CC#N,ClC(Cl)(Cl)Cl,340.2,2.163323025660538,2.2168654729628163
CC#N,ClC(Cl)(Cl)Cl,346.0,2.091864061678393,2.1797042382150726
C[N+](=O)[O-],ClC(Cl)(Cl)Cl,314.9,2.4595888418037104,2.660510545076405
C[N+](=O)[O-],ClC(Cl)(Cl)Cl,328.3,2.3702437414678603,2.6250578103701883
C[N+](=O)[O-],ClC(Cl)(Cl)Cl,340.2,2.2082744135228043,2.595445077105021
C[N+](=O)[O-],ClC(Cl)(Cl)Cl,349.1,2.128231705849268,2.574262754558717
CC(C)[N+](=O)[O-],ClC(Cl)(Cl)Cl,340.2,1.410986973710262,1.4160147898493118
CC(C)[N+](=O)[O-],ClC(Cl)(Cl)Cl,346.3,1.3762440252663892,1.3926979548535057
CCCCCC,ClC(Cl)(Cl)Cl,313.2,0.2468600779315258,0.3400849398644836
CCCCCCCC,ClC(Cl)(Cl)Cl,313.2,0.1739533071234379,0.23451755883944975
C1COCCO1,ClC(Cl)(Cl)Cl,303.2,0.2776317365982795,0.23502277669272398
C1COCCO1,ClC(Cl)(Cl)Cl,308.2,0.2851789422336624,0.23127606315142224
C1COCCO1,ClC(Cl)(Cl)Cl,313.2,0.2776317365982795,0.227646935306842
C1COCCO1,ClC(Cl)(Cl)Cl,313.2,0.29266961396282,0.227646935306842
C1COCCO1,ClC(Cl)(Cl)Cl,337.7,0.29266961396282,0.21139301603263752
CCCCCCC,ClC(Cl)(Cl)Cl,328.3,0.2390169004704999,0.23701324614034622
CCCCCCC,ClC(Cl)(Cl)Cl,349.1,0.1397619423751586,0.2228915766835622
CO,CCOCC,388.2,1.0577902941478543,1.1813612837470875
CC(C)=O,CCOCC,388.3,0.6259384308664954,0.6275445238265807
CC#N,CCOCC,388.2,0.9820784724121582,1.0529224661502818
CCO,Nc1ccccc1,313.2,0.9321640810304452,0.9530360131192701
CCO,Nc1ccccc1,328.2,0.8960880245566357,0.9917485739548124
CCO,Nc1ccccc1,350.8,0.7747271675523681,1.042840955404129
CCO,Nc1ccccc1,386.7,0.6312717768418578,1.1080111454999186
CC(C)=O,Nc1ccccc1,386.7,0.0953101798043249,0.4912108022114774
CC(C)=O,Nc1ccccc1,350.8,-0.0618754037180875,0.32204043391710924
CC(C)=O,Nc1ccccc1,313.2,-0.3566749439387324,0.02097169874911664
c1ccccc1,Nc1ccccc1,298.2,0.7884573603642703,0.7893372060880617
c1ccccc1,Nc1ccccc1,298.2,0.8064758658669485,0.7893372060880617
c1ccccc1,Nc1ccccc1,298.2,0.85015092936961,0.7893372060880617
c1ccccc1,Nc1ccccc1,333.2,0.6931471805599453,0.7108282570424396
c1ccccc1,Nc1ccccc1,373.2,0.5877866649021191,0.6382776904318959
CC#N,Nc1ccccc1,393.2,0.0953101798043249,0.057881691554971026
Cc1cccc(O)c1,Nc1ccccc1,453.2,-0.2484613592984996,-0.2524342374256998
Cc1cccc(O)c1,Nc1ccccc1,453.2,-0.1984509387238383,-0.2524342374256998
Cc1cccc(O)c1,Nc1ccccc1,437.9,-0.2613647641344075,-0.2614270303455086
Cc1cccc(O)c1,Nc1ccccc1,437.9,-0.2231435513142097,-0.2614270303455086
Cc1cccc(O)c1,Nc1ccccc1,422.9,-0.2613647641344075,-0.2708880015106632
Cc1cccc(O)c1,Nc1ccccc1,422.9,-0.2613647641344075,-0.2708880015106632
Cc1cccc(O)c1,Nc1ccccc1,408.2,-0.2744368457017603,-0.28084854990200026
Clc1ccccc1,Nc1ccccc1,393.2,0.5822156198526637,0.679930363875584
CCCCCC,Nc1ccccc1,298.2,3.2676659890376327,3.1855730879199906
CCCCCC,Nc1ccccc1,298.2,3.282038399825841,3.1855730879199906
CCCCCC,Nc1ccccc1,298.2,3.295836866004329,3.1855730879199906
CCCCCC,Nc1ccccc1,298.2,3.299164656097004,3.1855730879199906
CCCCCC,Nc1ccccc1,323.2,2.6390573296152584,2.980624313672044
CCCCCC,Nc1ccccc1,373.2,2.079441541679836,2.641886108638536
ClC(Cl)(Cl)Cl,CCO,333.2,1.3987168811184478,1.4336961065502303
Nc1ccccc1,CCO,386.7,0.8919980393051105,0.9677355229494995
CC(C)=O,CCO,313.2,0.9162907318741552,0.9714401248827902
CC(C)=O,CCO,314.3,0.8878912573524571,0.9743395054273962
CC(C)=O,CCO,318.5,0.8544153281560676,0.9852039621824864
CC(C)=O,CCO,322.5,0.7747271675523681,0.9952514894081586
CC(C)=O,CCO,323.0,0.7975071958841882,0.9964871292070208
CC(C)=O,CCO,323.2,0.8329091229351039,0.996980130410506
CC(C)=O,CCO,323.2,0.7654678421395714,0.996980130410506
CC(C)=O,CCO,335.8,0.7080357930536959,1.026621834004659
CC(C)=O,CCO,348.3,0.6523251860396901,1.0533765268012671
CC(C)=O,CCO,351.5,0.5481214085096876,1.0598202099943843
ClC(Cl)Cl,CCO,323.2,0.7608058290337602,0.6947222156612659
c1ccccc1,CCO,298.2,1.6505798557652755,1.7391097641859443
c1ccccc1,CCO,298.2,1.4906543764441336,1.7391097641859443
c1ccccc1,CCO,313.2,1.449269160281279,1.742160330176424
c1ccccc1,CCO,318.8,1.62924053973028,1.7431412216692437
c1ccccc1,CCO,333.2,1.7047480922384253,1.7451507251574507
c1ccccc1,CCO,334.7,1.547562508716013,1.7453132294155895
c1ccccc1,CCO,346.4,1.4816045409242156,1.7462514922784917
c1ccccc1,CCO,353.2,1.4816045409242156,1.746518320896329
c1ccccc1,CCO,373.2,1.6094379124341005,1.7460701024012715
CC#N,CCO,343.2,1.118414915964289,1.2804682572018173
CC#N,CCO,393.2,0.7371640659767196,1.117641829645534
C[N+](=O)[O-],CCO,348.2,1.541159071680806,1.7343523229368158
C[N+](=O)[O-],CCO,398.2,1.0885619528146082,1.5400372401099038
CC(C)CO,CCO,351.5,0.1988508587451651,0.19913716967702055
CC(C)CO,CCO,424.0,0.3220834991691132,0.35110012249890454
CC(C)CO,CCO,424.0,0.3220834991691132,0.35110012249890454
Cc1ccccc1,CCO,303.2,1.786746927404511,1.8667725890404305
Cc1ccccc1,CCO,313.2,1.747459210331475,1.807169492997967
Cc1ccccc1,CCO,318.5,1.7227665977411035,1.7770973414117655
Cc1ccccc1,CCO,318.5,1.7227665977411035,1.7770973414117655
Cc1ccccc1,CCO,318.6,1.9459101490553128,1.7765395592361393
Cc1ccccc1,CCO,318.6,1.9315214116032136,1.7765395592361393
Cc1ccccc1,CCO,323.2,1.7647307968401356,1.751254698671916
Cc1ccccc1,CCO,323.2,1.7101878155342434,1.751254698671916
Cc1ccccc1,CCO,330.0,1.6752256529721037,1.7151683026749447
Cc1ccccc1,CCO,333.2,1.7298840655099674,1.6986961270072127
