Solvent_SMILES,Solute_SMILES,T,log-gamma
CN1CCCC1=O,C1CCCCC1,35.0,2.312535424
CC(=O)NC,C1=CC=NC=C1,45.25,0.425267735
CCCC(=O)C1=CC=CC=C1,C(Cl)(Cl)(Cl)Cl,24.95,0.285178942
CCCCCCC,CCSSCC,25.0,0.741937345
CCOC(=O)C1=CC=CC=C1C(=O)OCC,CC(C)CO,75.05,0.518793793
CC(C)CCO,CC=C,56.85,0.916290732
C=CC1=CC=CC=C1,C=CC=C,36.69,0.717839793
C1COCCN1C=O,CC1CCC(CC1)C,40.1,3.339321978
CCCCCCCC,CC#N,20.05,3.443618098
CC1=CC=CC=C1,CCCCC=C,40.05,0.438254931
CS(=O)C,CC(C)CC(C)C,25.05,4.56309741
C(COCCO)O,C1=CC=CC=C1,75.05,1.975468951
CC(C)CC(C)(C)C,CC(C)CC(C)C,25.0,-0.010050336
CC(C)(C=C)O,CC(C)C,36.84,1.118414916
C1=CC=CC=C1,CC1CCCCC1,25.0,0.587786665
CCN(CC)CC,CCC1CCCCC1,25.05,0.086177696
CCCCCCCCCCCCCCCC,C(Cl)(Cl)Cl,25.0,0.076961041
CCOC(=O)C1=CC=CC=C1C(=O)OCC,C(Cl)(Cl)Cl,30.0,-0.858021824
C1CCC2=CC=CC=C2C1,C1CC=CC=C1,25.0,-0.024292693
CCCCCCCCCCCCCCCCCC,CC1=CC=C(C=C1)C,45.0,-0.114289146
CC1=CC=CC2=CC=CC=C12,CCCCC,25.0,1.115141591
C1=CC=CC=C1,CC1=CCC2CC1C2(C)C,80.05,0.336472237
CCN(CC)C(=O)C,CCC(=O)C,50.05,0.029558802
CO,CC1=CC=CC=C1,64.05,2.22028985
CCCCCCCCCCCCCCCC,CC(C)CC(C)C,90.0,-0.151986357
CCCCCC,CCCCOP(=O)(OCCCC)OCCCC,25.0,1.027617415
C1COCCN1C=O,CC(=O)OC,69.6,0.524728529
CCCCOC(=O)C1=CC=CC=C1C(=O)OCCCC,CCCC(C)C,53.2,0.864154977
CCCCCCCCCCCCC(C(C(C(C(C(C(C(F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F,C[N+](=O)[O-],40.0,1.909542505
C1CCC(CC1)C2=CC=CC=C2,CCCCC=C,25.0,0.277631737
CC1=CC=CC=C1,C(=S)=S,0.0,0.2390169
C(Cl)(Cl)Cl,CCCCCC,46.65,0.58221562
C1CCCCC1,CCN(CC)CC,25.0,0.029558802
CCCCCCCCCCCCCC(=O)O,CC(C)O,41.09,0.351360849
CCC(C)(C)O,CC(=C)C,6.85,0.924258902
C(COCCOCCOCCO)O,CCCCCCCCCC,90.0,4.319191994
C1=CC=C(C=C1)N,C(=S)=S,25.0,1.241268589
CCCCCCCCCCCCCCCCCCCCCC,CCCCC,60.0,-0.107585211
CCCCCCCCCCCCCC(=O)O,C1=CC=C(C=C1)CCl,60.11,0.479334957
C1CCS(=O)(=O)C1,C1CCCCC1,279.55,1.465336568
